"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36705","test_login_logout","seleniumbasicspytest","Mon Dec 02 14:54:22 IST 2024","passed","Mon Dec 02 14:54:59 IST 2024","","webautomation_test","",""
"","41673","test_login","seleniumbasicspytest","Mon Dec 02 12:23:41 IST 2024","passed","Mon Dec 02 12:24:22 IST 2024","","test_demo","",""
"","33804","test_post_request","seleniumbasicspytest","Fri Nov 29 17:56:20 IST 2024","passed","Fri Nov 29 17:56:54 IST 2024","","apiautomation_test","",""
"","14047","test_products","seleniumbasicspytest","Mon Dec 02 12:24:34 IST 2024","passed","Mon Dec 02 12:24:48 IST 2024","","test_demo","",""
"","62409","test_my_profile","seleniumbasicspytest","Mon Dec 02 14:55:19 IST 2024","passed","Mon Dec 02 14:56:22 IST 2024","","webautomation_test","",""
"","185249","test_add_user","seleniumbasicspytest","Mon Dec 02 15:01:32 IST 2024","passed","Mon Dec 02 15:04:37 IST 2024","","webautomation_test","",""
"","178171","test_settings","seleniumbasicspytest","Mon Dec 02 14:58:34 IST 2024","passed","Mon Dec 02 15:01:32 IST 2024","","webautomation_test","",""
"","132238","test_upload_profile_pic","seleniumbasicspytest","Mon Dec 02 14:56:22 IST 2024","passed","Mon Dec 02 14:58:34 IST 2024","","webautomation_test","",""
"","1707","test_demo_api","seleniumbasicspytest","Fri Nov 29 17:56:54 IST 2024","passed","Fri Nov 29 17:56:55 IST 2024","","apiautomation_test","",""
"","21133","test_transfer_fund","seleniumbasicspytest","Mon Dec 02 12:25:51 IST 2024","broken","Mon Dec 02 12:26:12 IST 2024","","test_demo","",""
"","20275","test_login_empty","seleniumbasicspytest","Mon Dec 02 14:54:59 IST 2024","passed","Mon Dec 02 14:55:19 IST 2024","","webautomation_test","",""
"","42837","test_open_account","seleniumbasicspytest","Mon Dec 02 12:24:48 IST 2024","passed","Mon Dec 02 12:25:31 IST 2024","","test_demo","",""
"","11380","test_services","seleniumbasicspytest","Mon Dec 02 12:24:22 IST 2024","passed","Mon Dec 02 12:24:34 IST 2024","","test_demo","",""
"","20509","test_account_overview","seleniumbasicspytest","Mon Dec 02 12:25:31 IST 2024","broken","Mon Dec 02 12:25:51 IST 2024","","test_demo","",""
"","1","test_valid_sign_in","Jira","Wed Nov 27 12:27:20 IST 2024","passed","Wed Nov 27 12:27:20 IST 2024","","test_script","",""
